EVAL_GRP,STATECD_NWOS,EVAL_GRP_DESCR,START_INVYR,END_INVYR
352012,35,"NEW MEXICO 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, GROWTH, MORTALITY",2005,2013
362013,36,"NEW YORK 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
372013,37,"NORTH CAROLINA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, INVASIVE",2003,2013
382013,38,"NORTH DAKOTA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
392013,39,"OHIO 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
402013,40.1,"OKLAHOMA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, INVASIVE",2008,2013
402013,40.2,"OKLAHOMA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, INVASIVE",2010,2013
412010,41,"OREGON 2010: ALL AREA, CURRENT AREA, CURRENT VOLUME, DWM",2001,2010
422013,42,"PENNSYLVANIA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
442013,44,"RHODE ISLAND 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
452013,45,"SOUTH CAROLINA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, INVASIVE",2007,2013
462013,46,"SOUTH DAKOTA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
472013,47,"TENNESSEE 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, INVASIVE",2005,2013
482013,48.2,"TEXAS 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2004,2013
482013,48.1,"TEXAS 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2009,2013
492013,49,"UTAH 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME",2004,2013
502013,50,"VERMONT 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
512013,51,"VIRGINIA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, INVASIVE",2008,2013
532011,53,"WASHINGTON 2011: ALL AREA, CURRENT AREA, CURRENT VOLUME, DWM",2002,2011
542013,54,"WEST VIRGINIA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
552013,55,"WISCONSIN 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY",2009,2013
562013,56,"WYOMING 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, GROWTH, MORTALITY",2011,2013
